vx	vy	vz	score	numLines
0.93325515	0.35921417	-0.00004771	4451.96	79
-0.36165999	0.93231006	-0.00000972	365.21	40

nLines	x1	y1	x2	y2	length
79
	227.20	3.48	238.95	8.18	12.65
	358.92	3.39	377.97	10.68	20.40
	465.09	3.42	525.94	26.11	64.94
	122.15	3.66	223.99	43.53	109.36
	221.99	54.26	106.38	9.23	124.07
	160.11	3.77	228.96	31.09	74.08
	234.06	20.91	191.11	3.73	46.25
	487.06	7.48	492.91	10.09	6.41
	518.12	13.83	525.93	17.18	8.50
	376.00	13.00	383.16	15.56	7.61
	381.92	13.36	431.95	31.06	53.07
	403.05	12.88	407.94	15.08	5.37
	390.15	18.64	407.01	24.82	17.96
	498.20	21.64	502.98	23.79	5.24
	101.96	22.69	215.00	66.99	121.41
	460.98	25.05	467.01	26.92	6.32
	97.44	32.45	212.02	77.89	123.27
	426.19	32.59	440.10	37.75	14.83
	432.95	32.50	444.06	35.93	11.63
	494.02	39.07	506.88	44.39	13.92
	456.90	41.15	526.06	65.89	73.46
	452.87	42.36	479.15	51.52	27.84
	138.90	76.20	87.92	54.98	55.22
	92.96	46.10	143.00	65.46	53.65
	484.16	53.53	497.02	58.95	13.95
	3.97	60.06	25.94	68.71	23.61
	499.13	59.57	526.10	69.76	28.83
	147.97	61.15	229.67	94.35	88.19
	490.19	72.64	526.05	85.89	38.23
	493.85	62.39	525.93	74.12	34.16
	4.04	66.41	25.18	75.67	23.08
	193.98	124.41	79.98	80.05	122.33
	83.93	69.27	134.24	88.32	53.79
	4.14	71.66	12.02	74.96	8.54
	520.09	75.78	526.06	77.82	6.31
	15.99	77.03	21.03	79.41	5.57
	485.00	85.33	525.97	100.59	43.72
	481.08	95.88	526.03	112.94	48.07
	74.01	92.56	187.06	136.86	121.41
	133.17	95.69	194.02	119.95	65.51
	69.39	102.50	184.06	147.86	123.32
	476.03	108.83	525.98	127.08	53.18
	65.03	115.86	179.59	161.40	123.28
	472.16	119.60	526.01	139.46	57.39
	197.05	121.90	215.21	128.72	19.40
	61.07	126.34	173.05	170.35	120.32
	466.98	132.21	525.97	153.59	62.74
	56.04	138.86	168.07	182.83	120.36
	464.05	142.85	525.92	165.70	65.95
	52.12	149.24	166.02	194.30	122.49
	458.97	155.09	526.01	180.47	71.68
	47.00	162.60	160.99	207.01	122.34
	455.02	165.95	526.08	192.81	75.96
	48.91	168.21	129.98	203.03	88.22
	450.01	178.97	526.05	207.36	81.17
	426.90	186.49	504.26	213.54	81.95
	31.94	206.03	113.03	241.72	88.59
	131.96	207.59	157.09	217.69	27.08
	505.60	212.35	525.95	219.64	21.61
	36.01	217.53	45.17	221.79	10.10
	24.37	218.76	139.02	263.89	123.21
	125.96	220.71	152.01	230.98	28.00
	413.33	221.33	429.80	228.19	17.85
	501.33	224.53	526.03	233.94	26.43
	432.98	228.57	489.00	249.27	59.72
	121.02	230.95	148.00	241.31	28.90
	18.93	232.42	134.02	276.94	123.40
	16.90	243.73	130.00	287.62	121.33
	428.23	236.09	526.06	272.87	104.51
	497.98	236.07	525.92	246.23	29.73
	116.08	242.76	142.94	253.14	28.79
	469.91	247.80	481.62	252.27	12.54
	493.04	248.47	526.08	260.83	35.27
	423.97	249.12	525.98	287.53	109.01
	10.01	255.47	107.79	293.54	104.94
	7.03	266.41	75.79	293.49	73.90
	419.26	259.57	508.81	293.46	95.74
	414.12	272.49	470.87	293.33	60.46
	410.24	282.74	438.78	293.66	30.56
40
	229.98	31.45	234.51	21.45	10.98
	216.07	67.42	212.67	77.53	10.66
	494.26	30.86	492.07	37.04	6.56
	448.04	49.02	442.61	62.06	14.13
	441.41	62.31	437.53	71.00	9.51
	492.98	62.46	489.78	71.95	10.01
	143.85	67.92	141.58	74.90	7.34
	79.23	79.66	82.83	69.40	10.87
	12.54	76.05	3.78	100.90	26.36
	25.28	77.01	3.47	132.77	59.87
	139.85	77.04	134.71	88.79	12.83
	483.95	85.97	480.64	95.02	9.64
	69.53	102.12	72.97	92.96	9.78
	229.47	94.90	216.33	127.94	35.56
	475.29	109.20	471.54	118.95	10.45
	482.24	114.01	480.14	119.03	5.44
	64.18	116.19	60.53	125.21	9.73
	177.07	170.03	179.91	161.97	8.55
	55.16	139.13	51.27	148.05	9.72
	170.64	186.06	167.00	193.99	8.73
	457.19	156.07	454.20	164.99	9.41
	45.04	174.01	40.04	186.02	13.01
	449.18	179.30	445.52	188.86	10.24
	426.33	186.32	413.20	220.10	36.24
	38.86	188.93	36.39	194.95	6.51
	35.06	198.04	31.90	204.95	7.60
	129.65	207.08	124.35	220.04	14.00
	161.71	208.02	158.41	216.96	9.53
	23.89	217.96	26.48	210.99	7.43
	503.83	215.92	500.37	223.99	8.78
	122.97	221.99	121.01	227.00	5.39
	498.97	226.99	497.45	231.99	5.23
	429.80	228.97	427.83	234.96	6.31
	114.93	240.92	119.65	230.71	11.25
	152.50	231.92	148.96	240.96	9.71
	491.96	246.98	496.99	235.98	12.09
	419.13	258.99	423.01	249.08	10.65
	143.46	254.11	139.62	263.52	10.16
	413.05	273.02	410.03	282.00	9.47
	134.47	277.87	131.04	287.02	9.77
